y1,y2,study_time
90,90,20
98,1,9
75,87,12
82,21,2
86,99,14
25,57,18
24,1,12
98,42,10
19,33,12
31,47,1
65,58,1
31,71,20
52,36,1
74,97,20
66,77,19
94,73,1
11,91,5
34,39,16
85,4,16
43,32,3
18,43,19
11,65,4
53,95,8
21,11,16
21,46,6
89,50,12
25,1,6
9,79,13
8,76,11
74,71,12
85,61,5
8,1,5
17,46,4
62,7,16
26,42,18
88,95,6
1,86,4
34,44,0
19,67,14
41,45,1
27,85,6
20,3,18
82,22,6
94,71,13
84,93,11
8,92,19
41,95,2
96,22,8
69,26,12
95,97,4
68,72,17
35,82,1
54,29,2
100,69,17
80,50,17
57,39,11
33,10,19
91,2,15
8,43,8
69,47,11
78,65,12
89,26,5
93,38,19
51,51,3
68,20,2
85,68,0
61,47,10
0,15,10
5,41,15
66,76,9
87,17,9
92,96,6
62,78,5
27,92,2
50,29,1
66,92,11
78,74,17
94,85,0
26,18,7
30,90,11
70,85,6
60,89,19
55,14,7
43,66,17
43,25,14
93,52,8
14,48,0
51,18,3
74,95,4
50,22,13
9,23,16
41,46,19
91,28,9
75,15,13
63,93,6
98,75,17
98,20,19
98,89,13
18,94,3
88,13,18
97,54,18
51,33,8
77,43,18
30,68,19
29,73,10
72,27,16
90,33,17
94,23,1
73,91,13
57,48,16
5,99,14
6,10,18
67,43,14
74,63,8
39,84,10
52,89,7
36,39,13
88,25,18
42,90,13
7,67,16
59,69,3
60,5,19
39,78,4
28,92,17
90,25,15
2,18,15
48,81,11
4,8,7
33,89,16
100,60,0
17,97,5
50,29,15
66,40,12
93,24,19
33,29,19
13,33,14
83,99,20
45,6,16
34,6,0
82,67,12
63,6,5
29,28,12
43,88,2
42,31,4
33,22,5
4,23,9
8,8,16
9,86,4
91,21,12
63,78,14
17,69,17
94,61,1
46,84,15
73,99,17
99,92,14
54,93,8
69,97,11
74,48,19
48,25,0
93,20,9
12,65,14
23,91,7
19,25,9
22,77,7
89,60,11
34,100,16
28,89,19
3,25,14
85,8,20
47,70,0
74,62,3
31,78,16
44,72,5
50,53,20
75,9,10
8,100,4
51,18,9
15,88,4
93,27,11
13,31,12
90,56,2
19,8,18
86,92,5
92,26,3
36,100,9
75,16,7
69,95,14
54,59,3
1,5,10
92,87,19
57,85,10
36,22,18
46,17,12
83,48,2
0,34,15
24,33,6
59,3,2
73,22,19
46,25,7
31,12,12
46,36,8
32,35,11
37,97,3
98,74,17
49,33,1
74,42,12
46,37,7
14,45,1
14,45,8
66,73,2
13,43,11
62,28,19
68,76,18
27,16,6
86,79,11
45,92,2
24,87,8
83,46,20
26,13,17
94,2,0
84,28,18
10,91,17
49,92,18
51,46,3
49,91,13
25,38,2
83,47,2
11,40,16
34,50,5
88,66,19
46,82,2
29,12,1
63,15,20
7,60,11
56,96,4
46,87,13
94,77,6
32,85,14
33,84,8
39,93,11
59,38,6
9,75,5
80,51,1
77,85,13
66,47,2
81,16,4
26,43,18
23,2,8
21,56,19
53,22,4
36,41,14
96,82,7
77,77,4
35,66,10
61,100,17
87,40,14
76,40,18
17,85,10
22,36,14
49,34,4
13,4,18
2,13,18
49,8,5
38,19,16
93,58,5
94,81,13
1,82,12
47,22,9
15,76,19
69,28,5
80,97,20
